LVLID,NAME,ADM1NAME,POP_90
NGP001001000000000000,Lere,Kaduna,"205727"
NGP001002000000000000,Zaria,Kaduna,"284318"
NGP001003000000000000,Zangon Kataf,Kaduna,"140224"
NGP001004000000000000,Birnin Gwari,Kaduna,"143072"
NGP001005000000000000,Sanga,Kaduna,"79793"
NGP001006000000000000,Sabon Gari,Kaduna,"224067"
NGP001007000000000000,Giwa,Kaduna,"171061"
NGP001008000000000000,Kajuru,Kaduna,"116284"
NGP001009000000000000,Igabi,Kaduna,"308239"
NGP001010000000000000,Ikara,Kaduna,"138822"
NGP001011000000000000,Jaba,Kaduna,"66119"
NGP001012000000000000,Kaduna North,Kaduna,"348000"
NGP001013000000000000,Kachia,Kaduna,"116145"
NGP001014000000000000,Soba,Kaduna,"174217"
NGP001015000000000000,Chikun,Kaduna,"255562"
NGP001016000000000000,Makarfi,Kaduna,"108455"
NGP001017000000000000,kaduna South,Kaduna,"391575"
NGP001018000000000000,Jema'a,Kaduna,"138720"
NGP001019000000000000,Kudan,Kaduna,"94585"
NGP001020000000000000,Kauru,Kaduna,"115284"
NGP001021000000000000,Kagarko,Kaduna,"90566"
NGP001022000000000000,Kaura,Kaduna,"101455"
NGP001023000000000000,Kuban,Kaduna,"177410"
NGP002001000000000000,Yola North,Adamawa,"141926"
NGP002002000000000000,Shelleng,Adamawa,"52477"
NGP002003000000000000,Song,Adamawa,"120184"
NGP002004000000000000,Teungo,Adamawa,"26384"
NGP002005000000000000,Yola South,Adamawa,"115780"
NGP002006000000000000,Jada,Adamawa,"124856"
NGP002007000000000000,Michika,Adamawa,"117684"
NGP002008000000000000,Numan,Adamawa,"87568"
NGP002009000000000000,Larmurde,Adamawa,"42882"
NGP002010000000000000,Hong,Adamawa,"117240"
NGP002011000000000000,Guyuk,Adamawa,"70526"
NGP002012000000000000,Fufore,Adamawa,"158137"
NGP002013000000000000,Ganye,Adamawa,"120451"
NGP002014000000000000,Gombi,Adamawa,"88635"
NGP002015000000000000,Mubi South,Adamawa,"124077"
NGP002016000000000000,Mubi North,Adamawa,"121383"
NGP002017000000000000,Girie,Adamawa,"78290"
NGP002018000000000000,Madagali,Adamawa,"90159"
NGP002019000000000000,Mayo-Belwa,Adamawa,"125073"
NGP002020000000000000,Maiha,Adamawa,"83192"
NGP002021000000000000,Demsa,Adamawa,"95149"
NGP003001000000000000,Mkpat Enin,Akwa Ibom,"104127"
NGP003002000000000000,Nsit Ibom,Akwa Ibom,"63570"
NGP003003000000000000,Nsit Atai,Akwa Ibom,"37458"
NGP003004000000000000,Okobo,Akwa Ibom,"69433"
NGP003005000000000000,Nsit Ubium,Akwa Ibom,"73826"
NGP003006000000000000,Abak,Akwa Ibom,"108833"
NGP003007000000000000,Mbo,Akwa Ibom,"67003"
NGP003008000000000000,Udung Uko,Akwa Ibom,"26134"
NGP003009000000000000,Eket,Akwa Ibom,"82610"
NGP003010000000000000,Onna,Akwa Ibom,"113048"
